Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
27276428,The Gene: An Intimate History,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,4.35,Scribner,Hardcover,592,2016,2016,,2022/10/12,currently-reading,currently-reading (#5),currently-reading,,,,1,0
180506,If the Universe Is Teeming with Aliens ... Where Is Everybody?: Fifty Solutions to the Fermi Paradox and the Problem of Extraterrestrial Life,Stephen  Webb,"Webb, Stephen",,"=""0387955011""","=""9780387955018""",3,4.20,Copernicus Books,Hardcover,288,2002,2002,2022/10/12,2022/10/04,"2022, non-fiction, philosophy-theology","2022 (#63), non-fiction (#439), philosophy-theology (#212)",read,,,,1,0
45299992,"If You Tell: a True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,"Olsen, Gregg",,"=""""","=""""",3,4.00,Thomas & Mercer,Kindle Edition,410,2019,2019,2022/10/05,2022/10/03,"2022, biography-memoarer, non-fiction","2022 (#62), biography-memoarer (#68), non-fiction (#438)",read,,,,1,0
59149218,The Illusionist Brain: The Neuroscience of Magic,Jordi Camí,"Camí, Jordi","Luis M. Martínez, Luis M. Rubio-Martinez","=""0691208441""","=""9780691208442""",3,3.89,Princeton University Press,Hardcover,248,2022,,2022/10/03,2022/09/28,"2022, non-fiction, science-history","2022 (#61), non-fiction (#437), science-history (#244)",read,,,,1,0
60645539,"Force: What It Means to Push and Pull, Slip and Grip, Start and Stop",Henry Petroski,"Petroski, Henry",,"=""0300260792""","=""9780300260793""",3,3.44,Yale University Press,Hardcover,328,2022,,2022/09/28,2022/09/25,"2022, non-fiction, science-history","2022 (#60), non-fiction (#436), science-history (#243)",read,,,,1,0
57993448,Appearance in Reality,John Heil,"Heil, John",,"=""0198865457""","=""9780198865452""",3,3.50,"Oxford University Press, USA",Hardcover,288,2021,,2022/09/25,2022/09/12,"2022, non-fiction, philosophy-theology","2022 (#59), non-fiction (#435), philosophy-theology (#211)",read,,,,1,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",2,4.28,Penguin Classics,Paperback,1276,2003,1844,2022/09/16,2022/08/22,"2022, fiction","2022 (#58), fiction (#155)",read,,,,1,0
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",3,4.17,William Morrow Paperbacks,Paperback,370,2003,1996,2022/09/12,2022/09/07,"2022, fiction","2022 (#57), fiction (#154)",read,,,,1,0
59802037,What We Owe the Future,William MacAskill,"MacAskill, William",,"=""1541618629""","=""9781541618626""",5,4.10,Basic Books,Hardcover,335,2022,2022,2022/09/05,2022/08/31,"2022, non-fiction, philosophy-theology","2022 (#56), non-fiction (#434), philosophy-theology (#210)",read,,,,1,0
61737762,"Gränslös (William Wisting, #16)",Jørn Lier Horst,"Horst, Jørn Lier",,"=""9146239820""","=""9789146239826""",3,3.64,Wahlström & Widstrand,Hardcover,350,2022,2021,2022/08/31,2022/08/30,"2022, fiction","2022 (#55), fiction (#153)",read,,,,1,0
200116,Socrates Cafe: A Fresh Taste of Philosophy,Christopher   Phillips,"Phillips, Christopher",,"=""039332298X""","=""9780393322989""",2,3.67,W. W. Norton  Company,Paperback,256,2002,2001,2022/08/30,2022/08/28,"2022, non-fiction, philosophy-theology","2022 (#54), non-fiction (#433), philosophy-theology (#209)",read,,,,1,0
56134934,On the Origin of Evolution: Tracing ‘Darwin’s Dangerous Idea’ from Aristotle to DNA,John Gribbin,"Gribbin, John",Mary Gribbin,"=""""","=""""",4,3.81,,Kindle Edition,,2020,2020,2022/08/19,2022/08/18,"2022, non-fiction, science-history","2022 (#53), non-fiction (#432), science-history (#242)",read,,,,1,0
59205150,Game Theory: Understanding the Mathematics of Life,Brian Clegg,"Clegg, Brian",,"=""1785788329""","=""9781785788321""",4,3.28,Icon Books,Paperback,176,2022,,2022/08/18,2022/08/17,"2022, non-fiction, philosophy-theology","2022 (#52), non-fiction (#431), philosophy-theology (#208)",read,,,,1,0
35167699,From Bacteria to Bach and Back: The Evolution of Minds,Daniel C. Dennett,"Dennett, Daniel C.",,"=""0393355500""","=""9780393355505""",4,3.78,W. W. Norton  Company,Paperback,477,2018,2017,2022/08/17,2022/08/15,,,read,,,,1,0
44643009,What It Means to Be Moral: Why Religion Is Not Necessary for Living an Ethical Life,Phil Zuckerman,"Zuckerman, Phil",,"=""""","=""""",4,4.27,Counterpoint,Kindle Edition,320,2019,2019,2022/08/15,2022/08/15,"2022, non-fiction, philosophy-theology","2022 (#51), non-fiction (#430), philosophy-theology (#207)",read,,,,1,0
58085260,Dark and Magical Places: The Neuroscience of Navigation,Christopher Kemp,"Kemp, Christopher",,"=""1324005386""","=""9781324005384""",3,3.99,W. W. Norton & Company,Hardcover,256,2022,,2022/08/15,2022/07/12,"2022, non-fiction, science-history","2022 (#50), non-fiction (#429), science-history (#241)",read,,,,1,0
60235633,Jag var Mengeles patolog: En läkares ögonvittnesskildring från Auschwitz,Miklós Nyiszli,"Nyiszli, Miklós",,"=""""","=""9789179035150""",4,4.29,Lind & Co,Hardcover,230,2022,1946,2022/03/24,2022/03/23,"2022, non-fiction, science-history, biography-memoarer","2022 (#20), non-fiction (#409), science-history (#230), biography-memoarer (#63)",read,,,,1,0
57203194,Flights of Fancy: Defying Gravity by Design and Evolution,Richard Dawkins,"Dawkins, Richard",Jana Lenzová,"=""""","=""""",3,4.22,Apollo,Kindle Edition,282,2021,2021,2022/07/12,2022/07/11,"2022, non-fiction, science-history","2022 (#49), non-fiction (#428), science-history (#240)",read,,,,1,0
58885956,The Joy of Science,Jim Al-Khalili,"Al-Khalili, Jim",,"=""0691211574""","=""9780691211572""",4,3.61,Princeton University Press,Hardcover,224,2022,,2022/07/11,2022/07/10,"2022, non-fiction, philosophy-theology","2022 (#48), non-fiction (#427), philosophy-theology (#206)",read,,,,1,0
58986891,A Better Ape: The Evolution of the Moral Mind and How It Made Us Human,Victor Kumar,"Kumar, Victor",Richmond Campbell,"=""0197600123""","=""9780197600122""",3,3.92,"Oxford University Press, USA",Hardcover,376,2022,,2022/07/10,2022/06/29,"2022, non-fiction, philosophy-theology","2022 (#47), non-fiction (#426), philosophy-theology (#205)",read,,,,1,0
208089,Persons & Causes: The Metaphysics of Free Will,Timothy O'Connor,"O'Connor, Timothy",,"=""019515374X""","=""9780195153743""",0,3.71,"Oxford University Press, USA",Paperback,160,2002,1999,,2022/06/29,currently-reading,currently-reading (#4),currently-reading,,,,1,0
58721072,"A Brief History of Timekeeping: The Science of Marking Time, from Stonehenge to Atomic Clocks",Chad Orzel,"Orzel, Chad",,"=""1953295606""","=""9781953295606""",4,3.52,,Paperback,324,2022,2022,2022/06/29,2022/06/27,"2022, non-fiction, science-history","2022 (#46), non-fiction (#425), science-history (#239)",read,,,,1,0
